151万 | 17839元/平米 | 新华绿洲 | 2室2厅 | 84.65平米 | 南 北 | 精装 | 无
153万 | 16769元/平米 | 水畔香谷 | 2室2厅 | 91.24平米 | 南 北 | 精装 | 无
112.8万 | 9341元/平米 | 泡崖七区 | 3室2厅 | 120.77平米 | 南 北 | 精装 | 无
86万 | 11636元/平米 | 泡崖美林园 | 2室1厅 | 73.91平米 | 东 南 北 | 精装 | 无
139.8万 | 19172元/平米 | 远洋广场 | 2室1厅 | 72.92平米 | 南 | 精装 | 有
520万 | 25872元/平米 | 第五郡三号地 | 4室2厅 | 200.99平米 | 南 北 | 精装 | 有
135万 | 15700元/平米 | 千山心城 | 2室2厅 | 85.99平米 | 南 北 | 简装 | 无
76万 | 14265元/平米 | 和兴家园 | 1室1厅 | 53.28平米 | 南 | 精装 | 有
94.5万 | 12937元/平米 | 龙畔金泉四期 | 2室1厅 | 73.05平米 | 南 | 简装 | 无
109.8万 | 13698元/平米 | 水映西山 | 2室2厅 | 80.16平米 | 南 西 北 | 精装 | 有
96万 | 10865元/平米 | 顺达温泉花园二期 | 2室2厅 | 88.36平米 | 南 北 | 简装 | 无
88万 | 12561元/平米 | 新星绿城三期 | 3室1厅 | 70.06平米 | 东 南 北 | 简装 | 无
195万 | 22180元/平米 | 远洋钻石湾一期 | 2室2厅 | 87.92平米 | 南 | 简装 | 暂无数据
129万 | 16743元/平米 | 水苑居 | 2室1厅 | 77.05平米 | 南 北 | 精装 | 无
106万 | 11868元/平米 | 商城花园 | 2室2厅 | 89.32平米 | 南 | 精装 | 无
220万 | 21639元/平米 | 华润置地广场二期 | 3室2厅 | 101.67平米 | 东 南 北 | 精装 | 有
118万 | 19091元/平米 | 鹏辉新世纪 | 2室2厅 | 61.81平米 | 东 南 北 | 简装 | 无
153万 | 34569元/平米 | 唯美品格 | 1室0厅 | 44.26平米 | 南 | 精装 | 无
142万 | 17531元/平米 | 金寓花园三期 | 3室2厅 | 81平米 | 南 北 | 精装 | 有
142万 | 15836元/平米 | 万科魅力之城 | 3室2厅 | 89.67平米 | 南 北 | 精装 | 有
195万 | 21531元/平米 | 鼎新鼎润府 | 2室1厅 | 90.57平米 | 南 北 | 精装 | 无
143.7万 | 16241元/平米 | 衡逸园一期 | 2室2厅 | 88.48平米 | 东南 北 | 精装 | 有
115万 | 20766元/平米 | 八十中 | 2室1厅 | 55.38平米 | 南 北 | 精装 | 无
120万 | 13948元/平米 | 龙畔金泉四期 | 2室1厅 | 86.04平米 | 南 北 | 简装 | 无
172万 | 16997元/平米 | 动力院景三期汇善园 | 3室2厅 | 101.2平米 | 南 北 | 简装 | 有
86万 | 13248元/平米 | 锦泉源B5区 | 2室1厅 | 64.92平米 | 南 北 | 精装 | 有
259万 | 32375元/平米 | 唯美品格 | 2室1厅 | 80平米 | 南 | 精装 | 有
119万 | 13317元/平米 | 今都小区 | 2室1厅 | 89.36平米 | 南 北 | 精装 | 有
145万 | 16667元/平米 | 水映西山 | 3室1厅 | 87平米 | 南 西 北 | 精装 | 无
112万 | 14900元/平米 | 万科现在城 | 2室1厅 | 75.17平米 | 南 | 精装 | 暂无数据
118万 | 13564元/平米 | 兴达福山居 | 2室2厅 | 87平米 | 东 南 北 | 精装 | 有
62.8万 | 11994元/平米 | 泡崖五区 | 2室1厅 | 52.36平米 | 南 西 北 | 精装 | 无
79万 | 17405元/平米 | 八十中 | 2室1厅 | 45.39平米 | 南 | 简装 | 无
333万 | 25446元/平米 | 第五郡五号地 | 3室2厅 | 130.87平米 | 南 北 | 精装 | 无
90万 | 15776元/平米 | 八十中 | 2室1厅 | 57.05平米 | 南 | 简装 | 无
360万 | 33645元/平米 | 唯美品格 | 4室2厅 | 107平米 | 南 北 | 精装 | 有
238万 | 16801元/平米 | 亿达春田晴湾 | 4室2厅 | 141.66平米 | 南 北 | 精装 | 暂无数据
180万 | 17179元/平米 | 鹏辉新纪元 | 3室2厅 | 104.78平米 | 东 南 北 | 精装 | 无
145万 | 17164元/平米 | 衡逸园一期 | 2室2厅 | 84.48平米 | 南 北 | 精装 | 有
360万 | 25170元/平米 | 亿达春田银杏园 | 6室3厅 | 143.03平米 | 南 北 | 精装 | 暂无数据
370万 | 27351元/平米 | 亿达世纪城 | 4室2厅 | 135.28平米 | 南 北 | 精装 | 有
243万 | 28908元/平米 | 岭秀滨城悦和中园 | 3室3厅 | 84.06平米 | 南 北 | 精装 | 有
63.9万 | 11483元/平米 | 泡崖美林园 | 2室1厅 | 55.65平米 | 南 | 简装 | 无
102万 | 11750元/平米 | 泉水N区 | 2室1厅 | 86.81平米 | 西南 | 精装 | 暂无数据
115万 | 14464元/平米 | 兴达依山居 | 2室2厅 | 79.51平米 | 南 北 | 精装 | 无
159.8万 | 16207元/平米 | 千山心城 | 3室2厅 | 98.6平米 | 南 北 | 精装 | 无
129.8万 | 22653元/平米 | 恒德橄榄季 | 1室1厅 | 57.3平米 | 南 | 精装 | 有
146万 | 14937元/平米 | 名贵山庄华丽园 | 2室1厅 | 97.75平米 | 南 北 | 精装 | 无
118万 | 13388元/平米 | 泉水友好园 | 2室2厅 | 88.14平米 | 南 北 | 精装 | 无
124万 | 11118元/平米 | 泡崖康顺园 | 3室2厅 | 111.54平米 | 南 西 北 | 精装 | 暂无数据
65.8万 | 9960元/平米 | 泡崖七区 | 2室1厅 | 66.07平米 | 南 北 | 简装 | 无
118万 | 13930元/平米 | 龙畔金泉五期K2区 | 2室1厅 | 84.71平米 | 东 南 北 | 精装 | 有
135万 | 9942元/平米 | 泡崖一区 | 3室2厅 | 135.8平米 | 南 西 北 | 精装 | 无
195万 | 21072元/平米 | 朗香小镇 | 3室2厅 | 92.54平米 | 南 北 | 精装 | 有
135万 | 14923元/平米 | 泊岭紫郡 | 2室2厅 | 90.47平米 | 南 北 | 精装 | 有
115万 | 8600元/平米 | 泡崖一区 | 3室2厅 | 133.73平米 | 南 北 | 精装 | 无
125万 | 18116元/平米 | 远洋广场 | 2室1厅 | 69平米 | 东北 | 精装 | 有
77.8万 | 11707元/平米 | 侯一小区 | 3室0厅 | 66.46平米 | 南 北 | 简装 | 无
78万 | 12090元/平米 | 沙区医院 | 2室1厅 | 64.52平米 | 南 西 北 | 简装 | 无
156万 | 15854元/平米 | 锦华北园 | 2室2厅 | 98.4平米 | 南 北 | 精装 | 无
410万 | 25353元/平米 | 壹品星海一期 | 3室2厅 | 161.72平米 | 南 北 | 精装 | 有
110万 | 11928元/平米 | 锦霞南园 | 2室2厅 | 92.22平米 | 南 北 | 简装 | 无
450万 | 25672元/平米 | 壹品星海一期 | 4室2厅 | 175.29平米 | 南 北 | 简装 | 有
87.8万 | 14527元/平米 | 阳光月秀 | 1室2厅 | 60.44平米 | 南 | 精装 | 有
170万 | 21379元/平米 | 万科城市花园 | 3室2厅 | 79.52平米 | 东南 | 简装 | 有
77.5万 | 10029元/平米 | 锦霞北园 | 2室2厅 | 77.28平米 | 东 西 | 简装 | 无
109万 | 15821元/平米 | 星台花园一期 | 2室1厅 | 68.9平米 | 南 北 | 简装 | 无
76万 | 10876元/平米 | 锦华南园 | 2室2厅 | 69.88平米 | 南 北 | 精装 | 无
419万 | 30852元/平米 | 幸福e家四期 | 3室2厅 | 135.81平米 | 南 北 | 精装 | 有
145万 | 14584元/平米 | 锦绣园 | 2室1厅 | 99.43平米 | 南 北 | 简装 | 无
167万 | 17047元/平米 | 帝欧花园 | 2室2厅 | 97.97平米 | 南 北 | 精装 | 有
47万 | 10494元/平米 | 李家街 | 2室1厅 | 44.79平米 | 南 北 | 简装 | 无
67万 | 12436元/平米 | 黄河路（辽师商圈） | 2室1厅 | 53.88平米 | 南 北 | 简装 | 暂无数据
83万 | 10871元/平米 | 绿波小区 | 2室1厅 | 76.35平米 | 东 西 | 简装 | 无
159万 | 16847元/平米 | 阳光月秀 | 2室2厅 | 94.38平米 | 南 北 | 精装 | 有
66万 | 11903元/平米 | 台山 | 2室1厅 | 55.45平米 | 南 北 | 简装 | 无
64万 | 11102元/平米 | 星海公园 | 2室1厅 | 57.65平米 | 东南 西 | 精装 | 无
258万 | 19364元/平米 | 星海中龙园 | 3室2厅 | 133.24平米 | 南 北 | 精装 | 无
74万 | 10000元/平米 | 绿波B区 | 2室1厅 | 74平米 | 南 北 | 简装 | 无
105万 | 17855元/平米 | 万科城市花园 | 2室1厅 | 58.81平米 | 东 西 | 简装 | 无
99万 | 10875元/平米 | 锦虹南园 | 2室2厅 | 91.04平米 | 南 北 | 简装 | 无
83万 | 10749元/平米 | 锦江园 | 2室2厅 | 77.22平米 | 南 西 北 | 精装 | 无
378万 | 31030元/平米 | 幸福e家一期 | 3室2厅 | 121.82平米 | 南 北 | 精装 | 无
